,Click the column headers to sort the chart by the given score.,Click the column headers to sort the chart by the given score.,Click the column headers to sort the chart by the given score.,Click the column headers to sort the chart by the given score.,Click the column headers to sort the chart by the given score.,Click the column headers to sort the chart by the given score.,Click the column headers to sort the chart by the given score.,Click the column headers to sort the chart by the given score.,Click the column headers to sort the chart by the given score.,Click the column headers to sort the chart by the given score.,Click the column headers to sort the chart by the given score.,Click the column headers to sort the chart by the given score.,Click the column headers to sort the chart by the given score.,Click the column headers to sort the chart by the given score.,Click the column headers to sort the chart by the given score.,Click the column headers to sort the chart by the given score.,Click the column headers to sort the chart by the given score.,Click the column headers to sort the chart by the given score.,Click the column headers to sort the chart by the given score.,Click the column headers to sort the chart by the given score.,Click the column headers to sort the chart by the given score.
,Unnamed: 0_level_1,Nat,Skater,JGP,CS,GP,Ch,WD,MeanEventTotal,MeanEventBV,MeanEventTES,MeanEventPCS,MeanJump,MeanSpin,MeanStep Seq,MeanChor Seq,MeanSS,MeanTR,MeanPE,MeanCO,MeanIN
94,95,🇦🇹,Sophia Schaller,0,3,0,0,0,149.95n=3,75.67n=3,76.06n=3,75.22n=3,4.24n=30,3.70n=18,3.94n=6,3.63n=3,6.28n=6,6.07n=6,6.22n=6,6.33n=6,6.34n=6
95,96,🇪🇪,Amalia Zelenjak,1,0,0,0,0,149.32n=1,79.61n=1,81.15n=1,69.17n=1,5.25n=10,3.78n=6,2.99n=2,-n=0,5.80n=2,5.60n=2,5.62n=2,5.82n=2,5.74n=2
96,97,🇨🇿,Eliska Brezinova,0,2,0,1,0,149.15n=3,77.10n=3,73.51n=3,76.97n=3,4.27n=30,3.43n=18,3.45n=6,3.33n=3,6.57n=6,6.25n=6,6.38n=6,6.62n=6,6.45n=6
97,98,🇩🇪,Kristina Isaev,0,3,0,0,0,148.96n=3,73.36n=3,73.25n=3,76.04n=3,4.29n=30,3.35n=18,3.24n=6,3.80n=3,6.38n=6,6.12n=6,6.30n=6,6.35n=6,6.42n=6
98,99,🇨🇦,Alison Schumacher,0,2,1,1,0,148.45n=4,71.93n=4,73.01n=4,75.69n=4,4.23n=40,3.43n=24,3.46n=8,3.24n=4,6.35n=8,6.26n=8,6.31n=8,6.47n=8,6.32n=8
99,100,🇮🇹,Lucrezia Beccari,0,0,1,0,0,148.29n=1,74.46n=1,70.63n=1,80.66n=1,4.02n=10,3.42n=6,3.40n=2,3.14n=1,6.80n=2,6.70n=2,6.60n=2,6.86n=2,6.82n=2
100,101,🇧🇾,Milana Ramashova,2,1,0,0,0,147.38n=3,74.66n=3,77.10n=3,71.95n=3,4.81n=30,3.58n=18,3.17n=6,3.50n=1,6.02n=6,5.72n=6,5.99n=6,5.96n=6,5.99n=6
101,102,🇳🇿,Jocelyn Hong,0,1,0,1,0,146.02n=2,78.50n=2,78.26n=2,67.76n=2,4.93n=20,3.28n=12,3.01n=4,3.32n=2,5.69n=4,5.40n=4,5.62n=4,5.60n=4,5.62n=4
102,103,🇭🇺,Júlia Láng,0,1,0,0,0,145.64n=1,79.61n=1,73.41n=1,73.23n=1,4.51n=10,3.13n=6,2.94n=2,3.64n=1,6.22n=2,5.88n=2,6.02n=2,6.20n=2,6.16n=2
103,104,🇬🇪,Alina Urushadze,1,1,0,0,0,145.14n=2,69.79n=2,69.98n=2,77.15n=2,3.80n=20,3.73n=12,3.94n=4,3.40n=1,6.51n=4,6.23n=4,6.45n=4,6.54n=4,6.51n=4
104,105,🇺🇸,Josephine Lee,1,0,0,0,0,144.97n=1,65.33n=1,67.06n=1,78.91n=1,4.16n=10,3.05n=6,3.61n=2,-n=0,6.68n=2,6.50n=2,6.48n=2,6.72n=2,6.66n=2
105,106,🇨🇭,Livia Kaiser,0,1,0,0,0,144.14n=1,81.74n=1,81.22n=1,65.92n=1,5.27n=10,3.07n=6,3.42n=2,3.25n=1,5.56n=2,5.38n=2,5.44n=2,5.60n=2,5.52n=2
106,107,🇫🇷,Lola Ghozali,1,0,0,0,0,143.84n=1,73.53n=1,74.19n=1,70.65n=1,4.62n=10,3.39n=6,3.84n=2,-n=0,6.05n=2,5.78n=2,5.86n=2,5.96n=2,5.80n=2
107,108,🇨🇦,Sara-Maude Dupuis,1,0,0,0,0,143.54n=1,73.75n=1,73.60n=1,70.94n=1,4.79n=10,3.31n=6,2.93n=2,-n=0,5.93n=2,5.70n=2,5.84n=2,5.86n=2,6.00n=2
108,109,🇦🇹,Stefanie Pesendorfer,0,2,0,0,0,143.10n=2,76.28n=2,73.32n=2,71.28n=2,4.34n=20,3.27n=12,3.45n=4,3.40n=2,6.02n=4,5.72n=4,5.89n=4,5.98n=4,6.00n=4
109,110,🇸🇰,Nicole Rajicova,0,1,0,0,0,143.00n=1,67.60n=1,69.17n=1,73.83n=1,3.61n=10,3.59n=6,4.06n=2,3.43n=1,6.26n=2,5.84n=2,6.08n=2,6.20n=2,6.12n=2
110,111,🇮🇱,Taylor Morris,0,3,0,0,0,142.78n=3,75.40n=3,72.71n=3,71.41n=3,4.23n=33,3.29n=21,3.28n=7,3.47n=3,6.00n=6,5.65n=6,5.84n=6,5.92n=6,5.89n=6
111,112,🇨🇦,Audréanne Foster,1,0,0,0,0,142.46n=1,69.96n=1,70.86n=1,71.60n=1,4.49n=10,3.34n=6,2.95n=2,-n=0,6.02n=2,5.75n=2,6.04n=2,6.10n=2,6.05n=2
112,113,🇨🇦,Lia Pereira,1,0,0,0,0,142.43n=1,68.83n=1,69.93n=1,75.50n=1,4.24n=10,3.57n=6,3.06n=2,-n=0,6.28n=2,6.09n=2,6.26n=2,6.30n=2,6.40n=2
113,114,🇷🇴,Julia Sauter,0,2,0,0,0,141.66n=2,68.99n=2,71.80n=2,69.87n=2,4.20n=20,3.48n=12,2.69n=4,3.50n=2,5.95n=4,5.58n=4,5.86n=4,5.85n=4,5.89n=4
114,115,🇭🇺,Regina Schermann,1,1,0,1,0,141.00n=3,73.15n=3,74.27n=3,69.06n=3,4.40n=30,3.55n=18,3.35n=6,3.46n=2,5.90n=6,5.60n=6,5.66n=6,5.87n=6,5.69n=6
115,116,🇵🇱,Noelle Streuli,2,0,0,0,0,140.76n=2,77.36n=2,75.82n=2,66.93n=2,4.47n=20,3.93n=12,3.76n=4,-n=0,5.73n=4,5.34n=4,5.54n=4,5.65n=4,5.50n=4
116,117,🇫🇮,Janna Jyrkinen,2,0,0,0,0,140.70n=2,78.04n=2,76.80n=2,66.40n=2,5.00n=20,3.40n=12,3.22n=4,-n=0,5.70n=4,5.44n=4,5.39n=4,5.62n=4,5.48n=4
117,118,🇪🇪,Gerli Liinamäe,0,3,0,0,0,140.70n=3,66.03n=3,67.27n=3,73.76n=3,3.69n=30,3.38n=18,3.46n=6,3.20n=3,6.31n=6,5.97n=6,6.12n=6,6.23n=6,6.23n=6
118,119,🇸🇮,Dasa Grm,0,3,0,0,0,140.42n=3,65.83n=3,65.66n=3,75.09n=3,3.34n=33,3.37n=21,3.94n=7,3.44n=3,6.47n=6,6.06n=6,6.31n=6,6.39n=6,6.44n=6
119,120,🇮🇹,Ginevra Negrello,1,2,0,0,0,139.60n=3,70.72n=3,68.08n=3,74.19n=3,3.49n=30,3.82n=18,3.79n=6,4.00n=2,6.30n=6,6.07n=6,6.03n=6,6.32n=6,6.30n=6
120,121,🇺🇦,Anastasia Gozhva,0,1,0,0,0,139.53n=1,70.88n=1,72.41n=1,68.12n=1,4.15n=10,3.44n=6,3.60n=2,3.10n=1,6.02n=2,5.50n=2,5.58n=2,5.65n=2,5.60n=2
121,122,🇰🇷,Boin Moon,1,0,0,0,0,139.11n=1,66.61n=1,67.87n=1,74.24n=1,3.92n=10,3.68n=6,3.29n=2,-n=0,6.22n=2,6.12n=2,6.22n=2,6.36n=2,6.38n=2
122,123,🇫🇮,Olivia Lisko,2,0,0,0,0,139.04n=2,72.62n=2,72.76n=2,67.79n=2,4.67n=20,3.15n=12,3.60n=4,-n=0,5.64n=4,5.46n=4,5.64n=4,5.66n=4,5.65n=4
123,124,🇵🇭,Sofia Lexi Jacqueline Frank,0,2,0,1,0,138.71n=3,74.40n=3,71.19n=3,69.85n=3,4.38n=30,3.09n=18,2.98n=6,2.94n=3,5.82n=6,5.64n=6,5.80n=6,5.92n=6,5.98n=6
124,125,🇱🇻,Nikola Fomchenkova,2,0,0,0,0,138.01n=2,77.16n=2,73.85n=2,65.16n=2,5.08n=20,2.95n=12,2.66n=4,-n=0,5.68n=4,5.35n=4,5.38n=4,5.43n=4,5.30n=4
125,126,🇬🇧,Nina Povey,0,2,0,0,0,137.62n=2,69.06n=2,65.40n=2,72.72n=2,4.26n=20,2.48n=12,2.32n=4,3.30n=2,6.15n=4,5.90n=4,6.06n=4,6.14n=4,6.12n=4
126,127,🇫🇮,Laura Karhunen,0,1,0,0,0,137.15n=1,80.88n=1,72.79n=1,70.36n=1,4.29n=10,3.30n=6,3.66n=2,2.75n=1,6.10n=2,5.73n=2,5.64n=2,6.36n=2,5.90n=2
127,128,🇳🇱,Niki Wories,0,2,0,0,0,136.58n=2,68.74n=2,61.58n=2,76.50n=2,3.16n=20,3.25n=12,3.39n=4,3.70n=2,6.50n=4,6.24n=4,6.19n=4,6.51n=4,6.44n=4
128,129,🇨🇿,Nikola Rychtarikova,0,1,0,0,0,136.50n=1,72.47n=1,68.34n=1,69.16n=1,3.99n=10,3.13n=6,2.81n=2,4.10n=1,5.80n=2,5.58n=2,5.70n=2,5.82n=2,5.80n=2
129,130,🇫🇮,Linnea Ceder,0,1,0,0,1,136.38n=1,64.25n=1,63.62n=1,72.76n=1,3.74n=13,3.02n=9,2.39n=3,3.90n=1,6.00n=2,5.69n=2,5.85n=2,5.98n=2,5.98n=2
130,131,🇮🇱,Mariia Seniuk,1,0,0,0,0,136.27n=1,76.97n=1,77.32n=1,59.95n=1,5.24n=10,3.38n=6,2.32n=2,-n=0,5.30n=2,4.89n=2,5.06n=2,5.06n=2,5.00n=2
131,132,🇭🇰,Joanna So,0,1,0,0,0,135.78n=1,68.75n=1,69.75n=1,70.03n=1,4.15n=10,3.00n=6,3.34n=2,3.50n=1,5.86n=2,5.56n=2,5.68n=2,5.80n=2,5.80n=2
132,133,🇱🇹,Daria Afinogenova,1,0,0,0,0,135.15n=1,75.00n=1,72.24n=1,62.91n=1,4.45n=10,3.44n=6,3.54n=2,-n=0,5.36n=2,4.90n=2,5.32n=2,5.23n=2,5.18n=2
133,134,🇱🇻,Anete Lace,0,2,0,0,0,134.64n=2,66.46n=2,66.24n=2,69.89n=2,4.04n=23,2.95n=15,3.02n=5,3.45n=2,6.05n=4,5.68n=4,5.82n=4,5.98n=4,5.86n=4
134,135,🇱🇹,Aleksandra Golovkina,0,2,0,1,0,134.25n=3,66.38n=3,64.63n=3,71.62n=3,3.32n=30,3.49n=18,3.54n=6,3.40n=3,6.06n=6,5.76n=6,5.84n=6,6.05n=6,5.99n=6
135,136,🇦🇺,Victoria Alcantara,0,2,0,1,0,133.89n=3,72.55n=3,70.18n=3,65.37n=3,4.03n=30,3.33n=18,3.24n=6,3.43n=3,5.45n=6,5.32n=6,5.47n=6,5.51n=6,5.44n=6
136,137,🇬🇧,Kristen Spours,0,2,0,0,0,133.03n=2,70.42n=2,66.47n=2,67.56n=2,4.07n=20,2.97n=12,2.35n=4,3.30n=2,5.80n=4,5.49n=4,5.66n=4,5.75n=4,5.76n=4
137,138,🇩🇪,Nargiz Süleymanova,2,1,0,0,1,132.45n=3,77.52n=3,69.60n=3,64.85n=3,4.33n=33,3.35n=21,2.57n=7,3.40n=1,5.62n=6,5.25n=6,5.37n=6,5.48n=6,5.41n=6
138,139,🇲🇽,Andrea Montesinos Cantú,0,1,0,1,0,132.44n=2,61.68n=2,63.88n=2,69.06n=2,3.31n=20,3.49n=12,3.22n=4,3.40n=2,5.83n=4,5.48n=4,5.82n=4,5.74n=4,5.81n=4
139,140,🇲🇽,Eugenia Garza Martinez,0,1,0,1,0,132.01n=2,65.42n=2,65.16n=2,67.34n=2,3.51n=20,3.43n=12,3.06n=4,3.36n=2,5.71n=4,5.41n=4,5.67n=4,5.64n=4,5.73n=4
140,141,🇫🇷,Lorine Schild,1,0,0,0,0,131.85n=1,79.12n=1,71.17n=1,62.68n=1,4.49n=10,3.25n=6,3.38n=2,-n=0,5.42n=2,5.06n=2,5.16n=2,5.22n=2,5.21n=2
141,142,🇺🇦,Yelizaveta Babenko,0,1,0,0,0,131.51n=1,67.75n=1,63.11n=1,68.40n=1,3.88n=10,2.62n=6,2.78n=2,3.00n=1,5.72n=2,5.52n=2,5.72n=2,5.75n=2,5.70n=2
142,143,🇨🇦,Catherine Carle,1,0,0,0,0,131.31n=1,74.90n=1,67.10n=1,66.21n=1,4.73n=10,2.52n=6,2.34n=2,-n=0,5.79n=2,5.15n=2,5.62n=2,5.52n=2,5.56n=2
143,144,🇨🇿,Barbora Vrankova,1,0,0,0,0,130.62n=1,71.48n=1,67.26n=1,66.36n=1,4.22n=10,3.19n=6,2.97n=2,-n=0,5.70n=2,5.43n=2,5.56n=2,5.62n=2,5.57n=2
144,145,🇺🇦,Mariia Andriichuk,2,0,0,0,0,129.58n=2,77.04n=2,70.96n=2,61.13n=2,5.01n=20,2.67n=12,2.43n=4,-n=0,5.43n=4,5.07n=4,5.01n=4,5.15n=4,5.04n=4
145,146,🇳🇱,Julia Van Dijk,2,0,0,0,0,129.34n=2,72.02n=2,67.86n=2,61.98n=2,4.48n=20,2.87n=12,2.92n=4,-n=0,5.30n=4,5.03n=4,5.12n=4,5.17n=4,5.13n=4
146,147,🇧🇬,Ivelina Baicheva,0,2,0,0,0,127.58n=2,65.24n=2,63.24n=2,64.84n=2,3.35n=20,3.45n=12,3.07n=4,2.85n=2,5.59n=4,5.18n=4,5.40n=4,5.45n=4,5.39n=4
147,148,🇨🇭,Sarina Joos,1,0,0,0,0,126.99n=1,72.07n=1,63.32n=1,63.67n=1,3.84n=10,3.18n=6,2.90n=2,-n=0,5.28n=2,5.00n=2,5.26n=2,5.27n=2,5.44n=2
148,149,🇨🇦,Justine Miclette,1,0,0,0,0,126.71n=1,75.02n=1,66.15n=1,65.56n=1,4.08n=10,3.27n=6,2.86n=2,-n=0,5.62n=2,5.36n=2,5.38n=2,5.48n=2,5.50n=2
149,150,🇦🇹,Emily Saari,2,0,0,0,0,126.64n=2,68.92n=2,65.90n=2,61.75n=2,4.31n=20,3.10n=12,2.11n=4,-n=0,5.30n=4,4.95n=4,5.17n=4,5.13n=4,5.16n=4
150,151,🇨🇿,Ellen Slavickova,1,1,0,0,0,126.40n=2,77.20n=2,68.04n=2,61.86n=2,4.59n=20,2.45n=12,2.89n=4,3.40n=1,5.40n=4,4.92n=4,5.20n=4,5.08n=4,5.07n=4
151,152,🇳🇱,Dani Loonstra,1,0,0,0,0,125.76n=1,59.07n=1,62.39n=1,63.37n=1,3.72n=10,3.28n=6,2.73n=2,-n=0,5.54n=2,5.14n=2,5.28n=2,5.38n=2,5.38n=2
152,153,🇵🇱,Elzbieta Gabryszak,0,1,0,0,0,125.59n=1,68.28n=1,61.31n=1,67.28n=1,3.39n=10,3.00n=6,3.24n=2,2.90n=1,5.75n=2,5.42n=2,5.62n=2,5.60n=2,5.78n=2
153,154,🇪🇪,Nataly Langerbaur,0,3,0,0,0,125.45n=3,66.20n=3,59.72n=3,66.73n=3,3.24n=30,2.94n=18,3.13n=6,3.36n=3,5.91n=6,5.53n=6,5.58n=6,5.67n=6,5.53n=6
154,155,🇩🇪,Nathalie Weinzierl,0,2,0,0,0,125.11n=2,59.24n=2,55.66n=2,71.96n=2,2.73n=20,2.95n=12,3.62n=4,3.36n=2,6.17n=4,5.84n=4,5.84n=4,6.10n=4,6.09n=4
155,156,🇳🇴,Frida Berge,0,1,0,0,0,125.03n=1,64.47n=1,60.51n=1,66.52n=1,3.60n=10,2.99n=6,1.82n=2,2.90n=1,5.80n=2,5.40n=2,5.48n=2,5.58n=2,5.55n=2
156,157,🇷🇸,Antonina Dubinina,0,3,0,0,0,124.05n=3,66.61n=3,60.26n=3,64.13n=3,3.34n=33,3.16n=21,2.76n=7,3.20n=3,5.53n=6,5.23n=6,5.44n=6,5.50n=6,5.47n=6
157,158,🇬🇧,Elena Komova,1,1,0,0,0,123.84n=2,67.24n=2,65.06n=2,60.28n=2,3.86n=20,3.02n=12,3.37n=4,3.20n=1,5.14n=4,4.74n=4,4.95n=4,5.02n=4,4.99n=4
158,159,🇸🇮,Julija Lovrencic,2,0,0,0,0,121.62n=2,62.95n=2,63.68n=2,59.94n=2,3.63n=20,3.53n=12,3.09n=4,-n=0,5.01n=4,4.79n=4,5.03n=4,4.99n=4,5.04n=4
159,160,🇸🇪,Emelie Ling,1,1,0,0,0,121.46n=2,54.10n=2,56.11n=2,66.84n=2,2.82n=20,3.20n=12,3.52n=4,3.40n=1,5.71n=4,5.42n=4,5.42n=4,5.66n=4,5.78n=4
160,161,🇵🇱,Karolina Bialas,2,1,0,0,0,121.37n=3,65.62n=3,59.67n=3,63.03n=3,3.25n=30,3.28n=18,3.15n=6,3.50n=1,5.33n=6,5.10n=6,5.13n=6,5.30n=6,5.33n=6
161,162,🇭🇺,Bernadett Szigeti,1,1,0,0,0,121.34n=2,65.81n=2,59.54n=2,64.80n=2,3.34n=20,3.06n=12,3.02n=4,3.40n=1,5.52n=4,5.24n=4,5.32n=4,5.62n=4,5.56n=4
162,163,🇧🇬,Maria Levushkina,1,1,0,0,0,121.18n=2,60.56n=2,58.04n=2,65.14n=2,3.12n=20,3.10n=12,3.26n=4,3.40n=1,5.65n=4,5.28n=4,5.30n=4,5.58n=4,5.47n=4
163,164,🇸🇰,Vanesa Selmeková,2,0,0,0,0,120.91n=2,64.51n=2,63.24n=2,58.66n=2,4.03n=20,2.86n=12,2.90n=4,-n=0,5.12n=4,4.79n=4,4.86n=4,4.92n=4,4.83n=4
164,165,🇨🇿,Michaela Vrastiakova,1,0,0,0,0,120.74n=1,63.25n=1,62.98n=1,57.76n=1,4.07n=10,2.84n=6,2.66n=2,-n=0,4.91n=2,4.56n=2,4.80n=2,4.82n=2,4.76n=2
165,166,🇫🇷,Eve Dubecq,1,0,0,0,0,120.27n=1,69.09n=1,62.68n=1,58.59n=1,3.72n=10,3.23n=6,3.07n=2,-n=0,5.28n=2,4.88n=2,4.82n=2,5.05n=2,4.75n=2
166,167,🇮🇳,Tara Prasad,0,2,0,1,0,120.26n=3,65.42n=3,59.42n=3,61.17n=3,3.45n=30,2.74n=18,2.61n=6,3.24n=3,5.14n=6,4.91n=6,5.19n=6,5.21n=6,5.28n=6
167,168,🇮🇸,Aldís Kara Bergsdóttír,0,2,0,0,0,120.10n=2,65.07n=2,64.28n=2,56.82n=2,3.68n=23,3.06n=15,3.12n=5,2.90n=2,4.93n=4,4.62n=4,4.76n=4,4.90n=4,4.71n=4
168,169,🇩🇪,Aya Hatakawa,2,1,0,0,0,119.36n=3,63.03n=3,56.77n=3,66.92n=3,3.06n=30,3.14n=18,3.03n=6,3.80n=1,5.79n=6,5.48n=6,5.33n=6,5.71n=6,5.56n=6
169,170,🇧🇬,Chiara Hristova,2,0,0,0,0,118.48n=2,64.55n=2,62.14n=2,57.33n=2,4.21n=20,2.53n=12,2.46n=4,-n=0,4.91n=4,4.57n=4,4.71n=4,4.78n=4,4.75n=4
170,171,🇸🇰,Alexandra Michaela Filcová,2,1,0,0,0,118.10n=3,67.37n=3,63.10n=3,55.34n=3,4.12n=33,2.76n=21,2.33n=7,3.00n=1,4.95n=6,4.51n=6,4.74n=6,4.76n=6,4.69n=6
171,172,🇮🇱,Viktoriia Iushchenkova,1,0,0,0,0,117.31n=1,58.98n=1,57.77n=1,60.54n=1,3.30n=10,3.21n=6,2.78n=2,-n=0,5.26n=2,4.74n=2,5.00n=2,5.02n=2,5.04n=2
172,173,🇬🇧,Karly Robertson,0,1,0,0,0,117.31n=1,62.30n=1,58.71n=1,65.60n=1,2.79n=10,3.56n=6,3.16n=2,3.08n=1,5.88n=2,5.44n=2,5.31n=2,5.86n=2,5.56n=2
173,174,🇳🇴,Linnea Kilsand,1,1,0,0,0,117.18n=2,59.44n=2,56.01n=2,63.16n=2,3.53n=23,2.65n=15,2.44n=5,3.00n=1,5.60n=4,5.33n=4,5.22n=4,5.42n=4,5.34n=4
174,175,🇩🇰,Maia Sørensen,0,2,0,0,0,116.92n=2,62.79n=2,56.57n=2,62.34n=2,3.30n=23,2.53n=15,2.58n=5,3.12n=2,5.42n=4,5.04n=4,5.18n=4,5.30n=4,5.29n=4
175,176,🇳🇱,Mikai Maria Van Ommeren,1,0,0,0,0,116.61n=1,68.75n=1,62.42n=1,56.19n=1,3.90n=10,2.90n=6,3.03n=2,-n=0,4.94n=2,4.48n=2,4.62n=2,4.70n=2,4.57n=2
176,177,🇧🇬,Maria Manova,1,0,0,0,0,116.37n=1,64.94n=1,62.55n=1,54.82n=1,4.17n=10,2.59n=6,2.64n=2,-n=0,4.69n=2,4.29n=2,4.60n=2,4.60n=2,4.52n=2
177,178,🇳🇴,Mia Caroline Risa Gomez,1,0,0,0,0,116.20n=1,63.27n=1,62.13n=1,56.07n=1,3.76n=10,3.25n=6,2.51n=2,-n=0,4.78n=2,4.50n=2,4.58n=2,4.70n=2,4.70n=2
178,179,🇨🇭,Shaline Rüegger,0,1,0,0,0,115.55n=1,63.23n=1,57.83n=1,59.72n=1,3.43n=10,2.65n=6,2.26n=2,3.10n=1,5.30n=2,4.88n=2,5.15n=2,4.95n=2,4.95n=2
179,180,🇰🇿,Anna Levkovets,1,0,0,0,0,115.50n=1,70.32n=1,62.26n=1,55.24n=1,3.76n=10,3.43n=6,2.02n=2,-n=0,4.63n=2,4.48n=2,4.56n=2,4.66n=2,4.50n=2
180,181,🇩🇰,Anna-Flora Colmor Jepsen,1,0,0,0,0,115.30n=1,55.83n=1,55.43n=1,59.87n=1,3.11n=10,2.99n=6,3.17n=2,-n=0,4.98n=2,4.79n=2,4.98n=2,5.04n=2,5.16n=2
181,182,🇨🇾,Stefania Yakovleva,1,0,0,0,0,114.85n=1,59.79n=1,55.90n=1,61.95n=1,3.24n=10,3.03n=6,2.64n=2,-n=0,5.20n=2,5.04n=2,5.04n=2,5.27n=2,5.16n=2
182,183,🇦🇹,Dorotea Leitgeb,2,0,0,0,0,114.74n=2,57.27n=2,55.90n=2,60.34n=2,3.12n=20,3.24n=12,2.64n=4,-n=0,5.12n=4,4.86n=4,5.02n=4,5.07n=4,5.13n=4
183,184,🇮🇹,Roberta Rodeghiero,0,1,0,0,0,114.49n=1,56.97n=1,52.17n=1,64.32n=1,2.99n=10,2.39n=6,2.44n=2,3.10n=1,5.72n=2,5.25n=2,5.40n=2,5.52n=2,5.58n=2
184,185,🇧🇬,Kristina Grigorova,0,2,0,0,0,114.30n=2,66.80n=2,59.36n=2,57.43n=2,3.40n=20,2.96n=12,2.66n=4,2.28n=2,5.22n=4,4.68n=4,4.82n=4,5.01n=4,4.74n=4
185,186,🇨🇿,Olusa Gajdosova,0,1,0,0,0,114.13n=1,62.61n=1,54.13n=1,61.00n=1,2.98n=10,2.74n=6,2.55n=2,2.80n=1,5.18n=2,4.75n=2,5.18n=2,5.05n=2,5.12n=2
186,187,🇩🇰,Catharina Victoria Petersen,1,0,0,0,0,113.76n=1,57.71n=1,54.32n=1,61.44n=1,3.22n=10,2.68n=6,3.02n=2,-n=0,5.28n=2,5.02n=2,5.22n=2,5.28n=2,5.39n=2
187,188,🇨🇱,Yae-Mia Neira,0,3,0,0,0,113.43n=3,60.86n=3,55.88n=3,58.89n=3,2.83n=30,3.09n=18,2.82n=6,3.37n=3,4.95n=6,4.68n=6,4.95n=6,5.02n=6,5.06n=6
188,189,🇲🇽,Regina Garcia De Leon Saab,1,0,0,0,0,113.36n=1,55.41n=1,55.64n=1,58.72n=1,3.05n=10,3.22n=6,2.94n=2,-n=0,4.75n=2,4.74n=2,4.91n=2,5.00n=2,5.00n=2
189,190,🇹🇼,Jenny Shyu,0,1,0,0,0,113.04n=1,57.50n=1,53.20n=1,59.84n=1,2.45n=10,3.30n=6,3.06n=2,2.80n=1,5.15n=2,4.95n=2,5.08n=2,5.15n=2,5.08n=2
190,191,🇱🇹,Selina Kaneda,1,0,0,0,0,112.56n=1,52.07n=1,52.15n=1,63.41n=1,2.99n=10,2.59n=6,3.36n=2,-n=0,5.34n=2,5.08n=2,5.40n=2,5.32n=2,5.52n=2
191,192,🇱🇻,Anastasija Konga,1,0,0,0,0,112.45n=1,71.33n=1,61.79n=1,53.66n=1,3.67n=10,3.17n=6,3.02n=2,-n=0,4.80n=2,4.38n=2,4.38n=2,4.56n=2,4.50n=2
192,193,🇵🇱,Weronika Ferlin,2,0,0,0,0,112.32n=2,63.73n=2,61.10n=2,52.72n=2,3.69n=20,3.10n=12,2.82n=4,-n=0,4.60n=4,4.28n=4,4.40n=4,4.46n=4,4.31n=4
193,194,🇵🇱,Natalia Lerka,0,1,0,0,0,112.06n=1,57.92n=1,53.86n=1,59.20n=1,2.99n=10,2.58n=6,2.82n=2,2.80n=1,5.22n=2,4.82n=2,4.82n=2,5.02n=2,4.92n=2
194,195,🇺🇿,Niginabonu Jamoliddinova,1,0,0,0,0,110.81n=1,55.77n=1,55.55n=1,55.26n=1,3.76n=10,2.35n=6,1.94n=2,-n=0,4.82n=2,4.41n=2,4.64n=2,4.61n=2,4.75n=2
195,196,🇹🇷,Sinem Pekder,0,2,0,0,0,110.67n=2,58.61n=2,52.71n=2,58.46n=2,2.82n=23,2.95n=15,2.26n=5,3.04n=2,5.17n=4,4.86n=4,4.98n=4,5.08n=4,5.03n=4
196,197,🇦🇺,Vlada Vasiliev,1,0,0,0,0,110.48n=1,68.59n=1,60.79n=1,53.69n=1,3.68n=10,3.30n=6,2.13n=2,-n=0,4.64n=2,4.38n=2,4.41n=2,4.56n=2,4.50n=2
197,198,🇬🇷,Alexandra Panagiota Manis,1,0,0,0,0,109.57n=1,66.05n=1,58.36n=1,52.21n=1,3.69n=10,2.60n=6,2.92n=2,-n=0,4.71n=2,4.12n=2,4.32n=2,4.40n=2,4.32n=2
198,199,🇲🇽,Alejandra Osuna Tirado,1,0,0,0,0,109.46n=1,52.55n=1,50.39n=1,59.07n=1,2.24n=10,3.80n=6,2.58n=2,-n=0,4.82n=2,4.61n=2,5.04n=2,4.92n=2,5.24n=2
199,200,🇱🇻,Sofja Stepcenko,2,0,0,0,0,108.10n=2,65.36n=2,57.18n=2,54.92n=2,3.67n=20,2.61n=12,2.42n=4,-n=0,4.78n=4,4.48n=4,4.51n=4,4.64n=4,4.59n=4
200,201,🇸🇮,Manca Krmelj,1,0,0,0,0,108.08n=1,66.91n=1,56.68n=1,54.40n=1,3.31n=10,3.02n=6,2.73n=2,-n=0,4.80n=2,4.43n=2,4.44n=2,4.58n=2,4.44n=2
201,202,🇮🇸,Julia Ros Vidarsdottir,2,0,0,0,0,105.94n=2,53.68n=2,50.45n=2,57.50n=2,2.53n=20,3.13n=12,3.16n=4,-n=0,4.89n=4,4.61n=4,4.78n=4,4.87n=4,4.91n=4
202,203,🇭🇺,Ivett Tóth,0,1,0,0,0,104.97n=1,50.63n=1,47.61n=1,62.36n=1,2.13n=10,2.95n=6,2.84n=2,2.90n=1,5.52n=2,5.02n=2,5.25n=2,5.35n=2,5.28n=2
203,204,🇸🇪,Josefin Brovall,1,0,0,0,0,104.79n=1,57.58n=1,52.19n=1,55.60n=1,3.08n=10,2.64n=6,2.76n=2,-n=0,4.88n=2,4.48n=2,4.66n=2,4.66n=2,4.64n=2
204,205,🇹🇼,Yan-Yi Lin,1,0,0,0,0,104.34n=1,53.23n=1,54.33n=1,50.01n=1,3.25n=10,3.06n=6,1.74n=2,-n=0,4.34n=2,4.05n=2,4.09n=2,4.20n=2,4.00n=2
