,Click the column headers to sort the chart by the given score.,Click the column headers to sort the chart by the given score.,Click the column headers to sort the chart by the given score.,Click the column headers to sort the chart by the given score.,Click the column headers to sort the chart by the given score.,Click the column headers to sort the chart by the given score.,Click the column headers to sort the chart by the given score.,Click the column headers to sort the chart by the given score.,Click the column headers to sort the chart by the given score.,Click the column headers to sort the chart by the given score.,Click the column headers to sort the chart by the given score.,Click the column headers to sort the chart by the given score.,Click the column headers to sort the chart by the given score.,Click the column headers to sort the chart by the given score.,Click the column headers to sort the chart by the given score.,Click the column headers to sort the chart by the given score.,Click the column headers to sort the chart by the given score.,Click the column headers to sort the chart by the given score.,Click the column headers to sort the chart by the given score.,Click the column headers to sort the chart by the given score.,Click the column headers to sort the chart by the given score.
,Unnamed: 0_level_1,Nat,Skater,JGP,CS,GP,Ch,WD,MeanEventTotal,MeanEventBV,MeanEventTES,MeanEventPCS,MeanJump,MeanSpin,MeanStep Seq,MeanChor Seq,MeanSS,MeanTR,MeanPE,MeanCO,MeanIN
22,23,🇷🇺,Alexander Samarin,0,0,2,0,0,239.92n=2,117.66n=2,124.02n=2,116.41n=2,8.85n=20,3.82n=12,4.36n=4,3.82n=2,7.99n=4,7.52n=4,7.72n=4,7.84n=4,7.80n=4
23,24,🇯🇵,Sota Yamamoto,0,1,2,0,0,237.43n=3,112.04n=3,120.99n=3,117.44n=3,8.51n=30,4.01n=18,3.69n=6,4.51n=3,7.99n=6,7.48n=6,7.86n=6,7.86n=6,7.93n=6
24,25,🇫🇷,Kévin Aymoz,0,1,1,1,1,236.57n=3,100.02n=3,112.16n=3,125.08n=3,7.01n=33,3.78n=21,5.01n=7,4.75n=3,8.24n=6,8.08n=6,8.07n=6,8.29n=6,8.36n=6
25,26,🇫🇷,Adam Siao Him Fa,0,2,2,0,0,235.50n=4,115.02n=4,119.05n=4,117.44n=4,8.25n=40,3.69n=24,5.09n=8,4.29n=4,7.90n=8,7.57n=8,7.85n=8,7.87n=8,7.95n=8
26,27,🇷🇺,Gleb Lutfullin,2,0,0,0,0,230.84n=2,111.12n=2,122.86n=2,107.98n=2,9.28n=20,3.70n=12,3.89n=4,-n=0,7.29n=4,6.96n=4,7.23n=4,7.21n=4,7.26n=4
27,28,🇦🇿,Vladimir Litvintsev,0,2,0,1,0,230.72n=3,112.07n=3,119.25n=3,113.13n=3,8.51n=30,3.73n=18,4.03n=6,3.73n=3,7.66n=6,7.30n=6,7.56n=6,7.53n=6,7.65n=6
28,29,🇯🇵,Koshiro Shimada,0,1,0,0,0,228.77n=1,102.73n=1,107.57n=1,123.20n=1,7.32n=10,3.75n=6,3.76n=2,4.40n=1,8.30n=2,8.05n=2,8.15n=2,8.38n=2,8.38n=2
29,30,🇨🇿,Michal Březina,0,0,2,1,0,228.48n=3,101.41n=3,107.57n=3,122.57n=3,7.32n=30,3.56n=18,4.55n=6,3.91n=3,8.26n=6,7.92n=6,8.14n=6,8.18n=6,8.26n=6
30,31,🇺🇸,Ilia Malinin,2,1,0,0,0,227.51n=3,118.44n=3,122.10n=3,106.41n=3,9.00n=30,3.95n=18,3.59n=6,3.50n=1,7.22n=6,6.88n=6,7.16n=6,7.10n=6,7.10n=6
31,32,🇯🇵,Sena Miyake,0,1,0,1,0,227.44n=2,110.78n=2,116.16n=2,111.28n=2,8.48n=20,3.21n=12,4.08n=4,3.92n=2,7.51n=4,7.08n=4,7.26n=4,7.33n=4,7.38n=4
32,33,🇨🇦,Roman Sadovsky,0,1,2,0,0,226.38n=3,108.13n=3,108.21n=3,119.84n=3,7.10n=30,4.09n=18,4.34n=6,4.02n=3,8.03n=6,7.80n=6,7.86n=6,8.05n=6,8.15n=6
33,34,🇰🇷,Sihyeong Lee,0,1,0,1,0,226.16n=2,112.74n=2,116.50n=2,111.16n=2,8.09n=20,3.96n=12,4.00n=4,3.88n=2,7.48n=4,7.22n=4,7.31n=4,7.48n=4,7.29n=4
34,35,🇯🇵,Keiji Tanaka,0,0,2,0,0,225.98n=2,99.92n=2,109.38n=2,117.10n=2,7.25n=20,3.79n=12,4.86n=4,4.43n=2,7.96n=4,7.58n=4,7.70n=4,7.88n=4,7.88n=4
35,36,🇯🇵,Lucas Tsuyoshi Honda,0,1,0,0,0,225.89n=1,100.26n=1,113.39n=1,112.50n=1,7.73n=10,3.88n=6,4.44n=2,3.90n=1,7.60n=2,7.32n=2,7.55n=2,7.55n=2,7.55n=2
36,37,🇺🇸,Jimmy Ma,0,2,1,1,0,222.32n=4,113.98n=4,112.18n=4,110.90n=4,7.84n=40,3.57n=24,4.14n=8,4.12n=4,7.46n=8,7.11n=8,7.33n=8,7.41n=8,7.40n=8
