,Click the column headers to sort the chart by the given score.,Click the column headers to sort the chart by the given score.,Click the column headers to sort the chart by the given score.,Click the column headers to sort the chart by the given score.,Click the column headers to sort the chart by the given score.,Click the column headers to sort the chart by the given score.,Click the column headers to sort the chart by the given score.,Click the column headers to sort the chart by the given score.,Click the column headers to sort the chart by the given score.,Click the column headers to sort the chart by the given score.,Click the column headers to sort the chart by the given score.,Click the column headers to sort the chart by the given score.,Click the column headers to sort the chart by the given score.,Click the column headers to sort the chart by the given score.,Click the column headers to sort the chart by the given score.,Click the column headers to sort the chart by the given score.,Click the column headers to sort the chart by the given score.,Click the column headers to sort the chart by the given score.,Click the column headers to sort the chart by the given score.,Click the column headers to sort the chart by the given score.,Click the column headers to sort the chart by the given score.
,Unnamed: 0_level_1,Nat,Skater,JGP,CS,GP,Ch,WD,MeanEventTotal,MeanEventBV,MeanEventTES,MeanEventPCS,MeanJump,MeanSpin,MeanStep Seq,MeanChor Seq,MeanSS,MeanTR,MeanPE,MeanCO,MeanIN
89,90,🇪🇸,Tomás Guarino Sabaté,0,3,0,1,0,188.80n=4,91.46n=4,93.06n=4,96.74n=4,6.40n=40,3.10n=24,3.58n=8,3.27n=4,6.51n=8,6.12n=8,6.39n=8,6.45n=8,6.51n=8
90,91,🇨🇭,Nicola Todeschini,0,2,0,0,0,188.28n=2,92.15n=2,92.61n=2,96.68n=2,6.06n=20,3.48n=12,3.82n=4,3.49n=2,6.60n=4,6.10n=4,6.43n=4,6.34n=4,6.48n=4
91,92,🇰🇷,Jaekeun Lee,1,0,0,0,0,188.20n=1,79.17n=1,87.75n=1,101.45n=1,6.00n=10,3.12n=6,4.56n=2,-n=0,6.91n=2,6.57n=2,6.86n=2,6.91n=2,6.78n=2
92,93,🇰🇷,Jaeseok Kyeong,0,0,0,1,0,187.97n=1,96.03n=1,92.02n=1,97.95n=1,5.74n=10,3.70n=6,4.26n=2,3.92n=1,6.66n=2,6.29n=2,6.44n=2,6.64n=2,6.54n=2
93,94,🇰🇷,Younghyun Cha,2,0,0,0,0,186.81n=2,86.10n=2,90.96n=2,95.86n=2,6.40n=20,3.18n=12,3.95n=4,-n=0,6.51n=4,6.22n=4,6.34n=4,6.47n=4,6.33n=4
94,95,🇲🇨,Davidé Lewton Brain,0,2,0,1,0,184.61n=3,83.64n=3,87.39n=3,97.88n=3,5.50n=30,3.61n=18,3.62n=6,3.53n=3,6.63n=6,6.34n=6,6.56n=6,6.59n=6,6.69n=6
95,96,🇨🇭,Naoki Rossi,2,0,0,0,0,184.19n=2,85.54n=2,89.85n=2,95.34n=2,5.84n=20,3.87n=12,4.10n=4,-n=0,6.27n=4,6.15n=4,6.42n=4,6.47n=4,6.50n=4
96,97,🇦🇹,Luc Maierhofer,0,3,0,0,0,184.03n=3,88.57n=3,89.09n=3,95.61n=3,5.96n=30,3.37n=18,3.27n=6,2.77n=3,6.49n=6,6.20n=6,6.37n=6,6.50n=6,6.44n=6
97,98,🇮🇱,Daniel Samohin,0,2,0,0,0,183.74n=2,96.26n=2,82.69n=2,105.55n=2,4.93n=20,3.55n=12,4.28n=4,3.55n=2,7.22n=4,6.86n=4,6.96n=4,7.12n=4,7.08n=4
98,99,🇦🇲,Slavik Hayrapetyan,0,1,0,1,0,183.66n=2,86.08n=2,85.53n=2,99.12n=2,5.73n=20,3.10n=12,3.24n=4,3.20n=2,6.71n=4,6.44n=4,6.56n=4,6.65n=4,6.66n=4
99,100,🇫🇷,Francois Pitot,2,0,0,0,0,183.32n=2,93.04n=2,92.14n=2,93.17n=2,6.55n=20,3.16n=12,3.84n=4,-n=0,6.24n=4,5.90n=4,6.22n=4,6.26n=4,6.26n=4
100,101,🇬🇧,Graham Newberry,0,1,0,0,0,182.33n=1,101.25n=1,93.83n=1,90.50n=1,6.11n=13,3.48n=9,3.73n=3,3.70n=1,6.37n=2,5.98n=2,6.27n=2,6.30n=2,6.29n=2
101,102,🇵🇱,Kornel Witkowski,0,1,0,1,0,182.02n=2,94.64n=2,87.08n=2,97.95n=2,5.90n=20,2.99n=12,3.38n=4,3.40n=2,6.70n=4,6.32n=4,6.38n=4,6.57n=4,6.61n=4
102,103,🇹🇼,Yuhsiang Li,2,0,0,0,0,180.14n=2,87.79n=2,89.08n=2,91.07n=2,6.09n=20,3.54n=12,3.45n=4,-n=0,5.94n=4,5.72n=4,6.12n=4,6.08n=4,6.04n=4
103,104,🇰🇷,Hyungyeom Kim,2,0,0,0,0,179.52n=2,88.76n=2,86.85n=2,93.16n=2,5.87n=20,3.38n=12,3.93n=4,-n=0,6.19n=4,6.05n=4,6.22n=4,6.27n=4,6.19n=4
104,105,🇬🇧,Edward Appleby,2,0,0,0,0,179.14n=2,93.16n=2,88.60n=2,92.03n=2,6.20n=20,3.24n=12,3.58n=4,-n=0,6.25n=4,5.88n=4,6.14n=4,6.18n=4,6.14n=4
105,106,🇨🇿,Matyas Belohradsky,0,3,0,0,0,179.04n=3,89.55n=3,85.88n=3,95.17n=3,5.75n=33,3.06n=21,3.45n=7,3.96n=3,6.51n=6,6.15n=6,6.33n=6,6.37n=6,6.45n=6
106,107,🇨🇦,Matthew Newnham,1,0,0,0,0,178.39n=1,83.54n=1,82.43n=1,97.96n=1,5.22n=10,3.76n=6,3.82n=2,-n=0,6.52n=2,6.30n=2,6.58n=2,6.61n=2,6.68n=2
107,108,🇺🇸,Maxim Zharkov,1,0,0,0,0,178.05n=1,90.73n=1,86.11n=1,93.94n=1,5.98n=10,3.23n=6,3.46n=2,-n=0,6.43n=2,6.08n=2,6.23n=2,6.32n=2,6.20n=2
108,109,🇮🇱,Lev Vinokur,2,0,0,0,0,177.88n=2,95.54n=2,90.55n=2,89.34n=2,6.57n=20,3.00n=12,3.40n=4,-n=0,6.04n=4,5.73n=4,6.08n=4,5.96n=4,6.07n=4
109,110,🇮🇹,Alessandro Fadini,0,1,0,0,0,177.74n=1,93.47n=1,83.99n=1,96.75n=1,5.06n=10,3.45n=6,4.44n=2,3.80n=1,6.50n=2,6.22n=2,6.45n=2,6.45n=2,6.62n=2
110,111,🇫🇮,Valtter Virtanen,0,3,0,1,0,177.30n=4,83.96n=4,80.61n=4,97.94n=4,4.82n=40,3.43n=24,4.00n=8,3.82n=4,6.61n=8,6.32n=8,6.52n=8,6.65n=8,6.68n=8
111,112,🇨🇭,Nurullah Sahaka,0,1,0,0,0,176.85n=1,80.35n=1,79.77n=1,99.08n=1,4.43n=10,3.72n=6,4.60n=2,3.92n=1,6.62n=2,6.29n=2,6.58n=2,6.77n=2,6.71n=2
112,113,🇵🇭,Edrian Paul Celestino,0,2,0,0,0,176.59n=2,77.70n=2,77.42n=2,99.68n=2,4.92n=20,3.04n=12,3.30n=4,3.32n=2,6.81n=4,6.48n=4,6.60n=4,6.68n=4,6.71n=4
113,114,🇮🇹,Matteo Nalbone,1,0,0,0,0,176.40n=1,83.30n=1,84.12n=1,92.28n=1,6.08n=10,2.96n=6,2.77n=2,-n=0,6.25n=2,5.86n=2,6.14n=2,6.25n=2,6.12n=2
114,115,🇺🇸,Kai Kovar,1,0,0,0,0,175.87n=1,91.08n=1,88.98n=1,89.89n=1,6.00n=10,3.62n=6,3.61n=2,-n=0,6.09n=2,5.88n=2,5.91n=2,6.00n=2,5.94n=2
115,116,🇰🇿,Dias Jirenbayev,1,2,0,1,0,174.30n=4,81.47n=4,83.22n=4,91.33n=4,5.61n=40,3.05n=24,3.02n=8,3.68n=3,6.20n=8,5.84n=8,6.02n=8,6.09n=8,6.14n=8
116,117,🇧🇾,Alexander Lebedev,2,0,0,0,1,173.33n=2,83.48n=2,79.84n=2,94.98n=2,5.76n=23,2.79n=15,3.15n=5,-n=0,6.40n=4,6.16n=4,6.23n=4,6.45n=4,6.44n=4
117,118,🇮🇹,Raffaele Francesco Zich,1,3,0,0,0,172.82n=4,81.64n=4,79.80n=4,93.52n=4,5.01n=40,3.11n=24,4.15n=8,3.63n=3,6.39n=8,6.07n=8,6.19n=8,6.34n=8,6.25n=8
118,119,🇨🇦,Beresford Clements,0,2,0,0,0,172.66n=2,88.89n=2,83.92n=2,91.74n=2,5.64n=20,3.02n=12,3.18n=4,3.04n=2,6.26n=4,6.04n=4,6.01n=4,6.24n=4,6.15n=4
119,120,🇨🇦,Bennet Toman,0,1,0,0,0,172.33n=1,102.57n=1,84.25n=1,91.08n=1,5.48n=10,3.46n=6,2.85n=2,3.00n=1,6.32n=2,6.03n=2,5.97n=2,6.22n=2,6.10n=2
120,121,🇩🇪,Kai Jagoda,0,3,0,0,0,169.96n=3,83.87n=3,77.76n=3,95.87n=3,4.66n=30,3.49n=18,3.78n=6,2.63n=3,6.56n=6,6.29n=6,6.20n=6,6.52n=6,6.48n=6
121,122,🇩🇪,Louis Weissert,2,0,0,0,0,169.43n=2,76.26n=2,77.32n=2,92.61n=2,5.10n=20,3.25n=12,3.40n=4,-n=0,6.15n=4,6.05n=4,6.10n=4,6.21n=4,6.27n=4
122,123,🇷🇺,Alexander Golubev,1,0,0,0,0,168.82n=1,87.74n=1,79.39n=1,92.43n=1,5.11n=10,3.60n=6,3.31n=2,-n=0,6.64n=2,5.95n=2,6.25n=2,6.34n=2,6.20n=2
123,124,🇫🇮,Makar Suntsev,2,3,0,0,0,167.51n=5,80.57n=5,77.25n=5,91.66n=5,4.97n=50,2.97n=30,3.90n=10,3.32n=3,6.14n=10,6.02n=10,6.00n=10,6.24n=10,6.18n=10
124,125,🇫🇷,Ian Vauclin,2,0,0,0,0,164.96n=2,77.59n=2,77.10n=2,89.36n=2,5.07n=20,3.36n=12,3.15n=4,-n=0,6.04n=4,5.66n=4,5.97n=4,6.06n=4,6.12n=4
125,126,🇦🇲,Semen Daniliants,1,0,0,0,0,163.77n=1,87.61n=1,83.18n=1,82.59n=1,5.78n=10,3.23n=6,3.02n=2,-n=0,5.56n=2,5.18n=2,5.44n=2,5.60n=2,5.54n=2
126,127,🇫🇷,Yann Frechon,0,1,0,0,0,162.89n=1,80.96n=1,74.99n=1,87.90n=1,5.19n=10,2.91n=6,1.57n=2,2.50n=1,6.22n=2,5.78n=2,5.80n=2,6.02n=2,5.82n=2
127,128,🇸🇰,Adam Hagara,1,1,0,0,0,162.52n=2,95.22n=2,85.00n=2,78.02n=2,6.42n=23,2.63n=15,2.79n=5,2.83n=1,5.64n=4,5.18n=4,5.36n=4,5.44n=4,5.35n=4
128,129,🇹🇷,Alp Eren Ozkan,1,1,0,0,0,162.24n=2,92.94n=2,80.31n=2,83.44n=2,5.51n=20,2.94n=12,3.06n=4,3.00n=1,5.72n=4,5.38n=4,5.67n=4,5.66n=4,5.55n=4
129,130,🇵🇭,Michael Christian Martinez,0,2,0,0,0,161.62n=2,80.00n=2,73.16n=2,89.96n=2,4.40n=20,3.23n=12,3.26n=4,3.28n=2,6.22n=4,5.69n=4,6.11n=4,6.14n=4,6.24n=4
130,131,🇺🇦,Andrey Kokura,1,0,0,0,0,161.42n=1,89.51n=1,77.74n=1,83.68n=1,5.38n=10,2.79n=6,3.60n=2,-n=0,5.66n=2,5.23n=2,5.56n=2,5.71n=2,5.71n=2
131,132,🇩🇪,Thomas Stoll,0,2,0,0,1,160.00n=2,75.46n=2,72.38n=2,89.12n=2,3.80n=23,3.43n=15,3.09n=5,3.40n=2,6.17n=4,5.92n=4,5.89n=4,6.17n=4,6.19n=4
132,133,🇰🇷,Hangil Kim,1,0,0,0,0,159.85n=1,79.63n=1,72.30n=1,89.55n=1,4.69n=10,2.96n=6,3.82n=2,-n=0,6.15n=2,5.77n=2,5.90n=2,6.14n=2,6.08n=2
133,134,🇮🇹,Emanuele Indelicato,1,0,0,0,0,159.07n=1,79.75n=1,72.30n=1,87.77n=1,4.64n=10,3.22n=6,3.29n=2,-n=0,5.86n=2,5.66n=2,5.80n=2,5.94n=2,5.91n=2
134,135,🇭🇰,Harrison Jon Yen Wong,0,1,0,0,1,158.49n=1,86.23n=1,81.43n=1,77.06n=1,4.66n=13,3.40n=9,2.59n=3,3.33n=1,5.21n=2,4.92n=2,5.10n=2,5.21n=2,5.07n=2
135,136,🇵🇱,Jakub Lofek,2,0,0,0,0,158.12n=2,72.70n=2,70.87n=2,87.25n=2,4.59n=20,3.07n=12,3.25n=4,-n=0,5.84n=4,5.61n=4,5.79n=4,5.88n=4,5.88n=4
136,137,🇸🇪,Casper Johansson,2,0,0,0,0,156.64n=2,75.27n=2,73.14n=2,84.50n=2,4.54n=20,3.40n=12,3.68n=4,-n=0,5.67n=4,5.48n=4,5.62n=4,5.79n=4,5.76n=4
137,138,🇺🇦,Kyrylo Lishenko,2,0,0,0,0,156.38n=2,75.20n=2,75.16n=2,81.22n=2,5.16n=20,2.96n=12,2.93n=4,-n=0,5.64n=4,5.19n=4,5.46n=4,5.41n=4,5.41n=4
138,139,🇦🇺,James Min,0,1,0,1,0,156.38n=2,94.28n=2,75.35n=2,84.52n=2,4.87n=20,3.01n=12,2.50n=4,3.54n=2,5.95n=4,5.45n=4,5.58n=4,5.90n=4,5.71n=4
139,140,🇵🇭,Christopher Caluza,0,1,0,0,0,156.24n=1,78.17n=1,74.20n=1,83.04n=1,4.81n=10,2.92n=6,2.58n=2,3.42n=1,5.44n=2,5.29n=2,5.77n=2,5.82n=2,5.96n=2
140,141,🇺🇦,Fedir Kulish,1,0,0,0,0,155.84n=1,78.64n=1,79.01n=1,77.83n=1,6.01n=10,2.26n=6,2.68n=2,-n=0,5.52n=2,4.98n=2,5.26n=2,5.18n=2,5.08n=2
141,142,🇧🇾,Yauhenii Puzanau,1,0,0,0,0,155.37n=1,69.53n=1,67.52n=1,89.85n=1,3.87n=10,3.61n=6,3.55n=2,-n=0,6.23n=2,5.79n=2,5.92n=2,6.17n=2,6.17n=2
142,143,🇵🇱,Milosz Witkowski,0,1,0,0,0,154.94n=1,64.83n=1,64.69n=1,90.25n=1,3.68n=10,2.84n=6,3.80n=2,3.30n=1,6.08n=2,5.78n=2,5.98n=2,6.05n=2,6.18n=2
143,144,🇧🇬,Larry Loupolover,0,2,0,0,0,153.22n=2,81.00n=2,71.24n=2,82.97n=2,4.41n=23,2.63n=15,2.53n=5,2.82n=2,5.98n=4,5.50n=4,5.69n=4,5.78n=4,5.77n=4
144,145,🇧🇾,Vasil Barakhouski,1,0,0,0,0,152.63n=1,84.38n=1,76.78n=1,78.85n=1,5.08n=10,3.40n=6,2.82n=2,-n=0,5.29n=2,4.86n=2,5.32n=2,5.36n=2,5.38n=2
145,146,🇨🇭,Micha Steffen,0,1,0,0,0,151.67n=1,85.95n=1,74.54n=1,77.13n=1,4.89n=10,2.72n=6,3.38n=2,2.58n=1,5.54n=2,5.06n=2,5.17n=2,5.42n=2,5.17n=2
146,147,🇰🇿,Rakhat Bralin,0,1,0,0,0,151.15n=1,67.27n=1,63.15n=1,89.00n=1,4.46n=10,1.83n=6,2.35n=2,2.90n=1,6.18n=2,5.80n=2,5.92n=2,6.05n=2,6.00n=2
147,148,🇱🇻,Daniels Kochkers,2,0,0,0,0,150.63n=2,75.18n=2,70.78n=2,80.35n=2,5.60n=23,1.94n=15,2.53n=5,-n=0,5.59n=4,5.26n=4,5.29n=4,5.43n=4,5.31n=4
148,149,🇭🇺,Andras Csernoch,0,2,0,0,0,150.22n=2,80.06n=2,69.49n=2,82.23n=2,4.25n=23,3.09n=15,3.13n=5,2.99n=2,5.81n=4,5.40n=4,5.48n=4,5.64n=4,5.53n=4
149,150,🇿🇦,Matthew Samuels,0,2,0,0,0,150.11n=2,79.82n=2,71.28n=2,79.83n=2,4.56n=20,2.66n=12,3.07n=4,3.56n=2,5.44n=4,5.04n=4,5.33n=4,5.32n=4,5.36n=4
150,151,🇨🇦,Alec Guinzbourg,1,0,0,0,0,149.82n=1,82.82n=1,66.32n=1,88.50n=1,4.21n=10,3.11n=6,2.76n=2,-n=0,6.14n=2,5.95n=2,5.72n=2,6.08n=2,5.86n=2
151,152,🇸🇪,Jonathan Egyptson,1,0,0,0,0,148.95n=1,65.87n=1,63.68n=1,86.27n=1,3.82n=10,3.27n=6,2.94n=2,-n=0,5.77n=2,5.44n=2,5.73n=2,5.82n=2,5.86n=2
152,153,🇺🇦,Vadym Novikov,2,0,0,0,0,148.72n=2,75.91n=2,73.46n=2,76.76n=2,5.24n=20,2.59n=12,2.74n=4,-n=0,5.41n=4,4.88n=4,5.22n=4,5.16n=4,5.12n=4
153,154,🇹🇼,Fang-Yi Lin,1,0,0,0,0,148.38n=1,78.64n=1,63.85n=1,87.53n=1,3.84n=10,3.01n=6,3.70n=2,-n=0,6.48n=2,5.74n=2,5.66n=2,6.02n=2,5.93n=2
154,155,🇪🇸,Pablo García,1,1,0,0,0,147.86n=2,73.66n=2,72.90n=2,75.46n=2,5.09n=20,2.41n=12,2.99n=4,3.20n=1,5.16n=4,4.88n=4,4.97n=4,5.10n=4,4.98n=4
155,156,🇭🇷,Charles Henry Katanovic,0,2,0,0,0,147.56n=2,73.93n=2,65.36n=2,82.20n=2,3.69n=20,3.20n=12,3.02n=4,3.20n=2,5.78n=4,5.38n=4,5.55n=4,5.59n=4,5.55n=4
156,157,🇫🇷,Corentin Spinar,1,0,0,0,0,147.16n=1,63.95n=1,66.53n=1,80.63n=1,4.41n=10,2.85n=6,2.64n=2,-n=0,5.54n=2,5.14n=2,5.34n=2,5.44n=2,5.40n=2
157,158,🇦🇺,Jordan Dodds,0,1,0,1,0,146.26n=2,71.47n=2,64.80n=2,83.96n=2,3.88n=20,2.97n=12,2.62n=4,2.92n=2,5.77n=4,5.44n=4,5.51n=4,5.82n=4,5.70n=4
158,159,🇭🇺,Mózes József Berei,1,0,0,0,0,145.55n=1,73.39n=1,66.42n=1,79.13n=1,4.20n=10,3.20n=6,2.60n=2,-n=0,5.39n=2,5.07n=2,5.36n=2,5.40n=2,5.28n=2
159,160,🇹🇷,Ali Efe Gunes,2,0,0,0,0,144.40n=2,83.31n=2,75.22n=2,69.68n=2,5.69n=20,2.28n=12,2.32n=4,-n=0,5.01n=4,4.45n=4,4.63n=4,4.67n=4,4.48n=4
160,161,🇭🇺,Aleksandr Vlasenko,1,0,0,0,0,143.82n=1,78.37n=1,73.21n=1,71.61n=1,5.01n=10,2.85n=6,3.03n=2,-n=0,5.02n=2,4.66n=2,4.84n=2,4.92n=2,4.93n=2
161,162,🇨🇿,Damian Malczyk,1,0,0,0,0,143.60n=1,62.81n=1,64.39n=1,79.21n=1,3.98n=10,2.99n=6,3.34n=2,-n=0,5.36n=2,5.11n=2,5.44n=2,5.32n=2,5.30n=2
162,163,🇹🇷,Alp Tore Ovalioglu,1,0,0,0,0,141.70n=1,65.07n=1,62.98n=1,81.72n=1,4.27n=10,2.65n=6,2.18n=2,-n=0,5.46n=2,5.14n=2,5.40n=2,5.50n=2,5.50n=2
163,164,🇧🇬,Radoslav Marinov,0,1,0,0,0,141.23n=1,77.09n=1,73.13n=1,70.10n=1,5.24n=10,2.84n=6,1.87n=2,0.00n=1,5.12n=2,4.55n=2,4.82n=2,4.82n=2,4.68n=2
164,165,🇮🇪,Conor Stakelum,0,2,0,0,0,140.11n=2,59.75n=2,58.31n=2,82.30n=2,3.65n=23,2.81n=15,2.39n=5,3.22n=2,5.61n=4,5.36n=4,5.59n=4,5.61n=4,5.61n=4
165,166,🇸🇪,Oliver Praetorius,1,0,0,0,0,139.21n=1,73.53n=1,64.82n=1,77.39n=1,4.37n=10,2.51n=6,3.02n=2,-n=0,5.41n=2,4.92n=2,5.11n=2,5.34n=2,5.14n=2
166,167,🇸🇰,Lukas Vaclavik,2,0,0,0,0,138.13n=2,66.12n=2,61.49n=2,79.14n=2,3.81n=20,2.82n=12,3.24n=4,-n=0,5.41n=4,5.16n=4,5.33n=4,5.33n=4,5.30n=4
167,168,🇪🇸,Euken Alberdi,1,0,0,0,0,137.67n=1,57.06n=1,58.25n=1,79.42n=1,3.74n=10,2.71n=6,2.30n=2,-n=0,5.44n=2,5.12n=2,5.28n=2,5.36n=2,5.11n=2
168,169,🇸🇰,Marko Piliar,2,0,0,0,0,137.57n=2,69.18n=2,64.22n=2,74.84n=2,4.02n=20,2.98n=12,3.07n=4,-n=0,5.28n=4,4.77n=4,4.89n=4,5.09n=4,4.86n=4
169,170,🇹🇼,Che Yu Yeh,0,1,0,0,0,137.13n=1,70.03n=1,63.57n=1,74.56n=1,3.87n=10,2.55n=6,3.38n=2,2.83n=1,5.04n=2,4.80n=2,4.92n=2,5.06n=2,5.12n=2
170,171,🇰🇿,Oleg Melnikov,1,0,0,0,0,136.15n=1,70.50n=1,64.93n=1,72.22n=1,4.14n=10,3.32n=6,1.78n=2,-n=0,5.00n=2,4.52n=2,4.93n=2,4.71n=2,4.82n=2
171,172,🇮🇱,Iakov Pogrebinskii,2,0,0,0,0,134.77n=2,67.20n=2,63.83n=2,71.94n=2,4.29n=20,2.64n=12,2.52n=4,-n=0,5.02n=4,4.73n=4,4.71n=4,4.88n=4,4.75n=4
172,173,🇩🇪,Luca Fünfer,2,0,0,0,0,133.79n=2,71.36n=2,63.42n=2,72.87n=2,4.36n=20,2.31n=12,2.95n=4,-n=0,5.07n=4,4.71n=4,4.83n=4,4.96n=4,4.79n=4
173,174,🇭🇺,Máté Böröcz,0,1,0,0,0,133.74n=1,76.20n=1,67.39n=1,67.35n=1,4.89n=10,2.01n=6,1.84n=2,2.70n=1,4.88n=2,4.32n=2,4.58n=2,4.55n=2,4.42n=2
174,175,🇬🇧,Freddie Leggott,1,0,0,0,0,131.16n=1,66.56n=1,57.92n=1,77.24n=1,3.59n=10,2.60n=6,3.22n=2,-n=0,5.27n=2,5.05n=2,5.14n=2,5.20n=2,5.28n=2
175,176,🇹🇷,Efe Ergin Dincer,1,0,0,0,0,128.83n=1,65.34n=1,61.30n=1,68.53n=1,4.37n=10,2.30n=6,1.90n=2,-n=0,4.88n=2,4.38n=2,4.68n=2,4.56n=2,4.43n=2
176,177,🇪🇪,Jegor Martsenko,2,0,0,0,0,126.56n=2,67.92n=2,59.42n=2,68.64n=2,3.89n=20,2.52n=12,2.71n=4,-n=0,4.81n=4,4.35n=4,4.46n=4,4.71n=4,4.51n=4
177,178,🇫🇷,Axel Ahmed,1,0,0,0,0,125.55n=1,59.69n=1,48.38n=1,81.17n=1,2.55n=10,2.86n=6,2.86n=2,-n=0,5.61n=2,5.30n=2,5.30n=2,5.54n=2,5.43n=2
178,179,🇮🇱,Nikita Kovalenko,0,1,0,0,0,125.49n=1,51.56n=1,44.69n=1,83.80n=1,2.73n=10,1.32n=6,3.20n=2,3.10n=1,5.88n=2,5.48n=2,5.50n=2,5.82n=2,5.65n=2
179,180,🇭🇰,Adonis Wai Chung Wong,0,1,0,0,0,125.13n=1,65.35n=1,53.83n=1,72.30n=1,3.53n=10,2.06n=6,2.20n=2,1.80n=1,5.28n=2,4.72n=2,4.90n=2,4.95n=2,4.68n=2
180,181,🇮🇹,Gabriel Renoldi,1,0,0,0,0,121.23n=1,62.32n=1,53.60n=1,69.63n=1,3.29n=10,2.58n=6,2.62n=2,-n=0,4.96n=2,4.54n=2,4.60n=2,4.84n=2,4.69n=2
181,182,🇨🇭,Leon Auspurg,0,1,0,0,0,117.58n=1,65.87n=1,56.78n=1,62.80n=1,3.83n=10,2.13n=6,1.86n=2,2.00n=1,4.48n=2,4.02n=2,4.20n=2,4.28n=2,4.10n=2
182,183,🇦🇹,Tobia Oellerer,1,0,0,0,0,110.15n=1,54.91n=1,46.55n=1,65.60n=1,2.67n=10,2.51n=6,2.40n=2,-n=0,4.58n=2,4.25n=2,4.34n=2,4.56n=2,4.38n=2
183,184,🇬🇧,Joseph Alexander Zakipour,1,0,0,0,0,110.05n=1,63.92n=1,52.91n=1,62.14n=1,3.29n=10,2.52n=6,2.46n=2,-n=0,4.52n=2,4.09n=2,4.12n=2,4.54n=2,4.18n=2
184,185,🇸🇮,David Sedej,2,0,0,0,0,108.96n=2,65.16n=2,53.10n=2,59.37n=2,3.49n=20,2.24n=12,2.34n=4,-n=0,4.32n=4,3.78n=4,3.94n=4,4.10n=4,3.84n=4
185,186,🇺🇿,Azizmurod Shabazov,1,0,0,0,0,106.92n=1,47.68n=1,45.12n=1,62.80n=1,2.37n=10,2.47n=6,3.28n=2,-n=0,4.76n=2,4.02n=2,4.16n=2,4.28n=2,4.07n=2
186,187,🇭🇰,Heung Lai Zhao,1,0,0,0,0,101.76n=1,60.10n=1,47.36n=1,57.40n=1,3.36n=10,1.81n=6,1.44n=2,-n=0,4.50n=2,3.68n=2,3.88n=2,4.14n=2,3.86n=2
187,188,🇿🇦,Nicolas Van De Vijver,1,0,0,0,0,96.20n=1,44.36n=1,37.32n=1,59.88n=1,2.02n=10,2.06n=6,2.36n=2,-n=0,4.14n=2,3.80n=2,4.09n=2,4.12n=2,3.89n=2
188,189,🇮🇪,Dillon Judge,2,0,0,0,0,95.00n=2,53.16n=2,44.51n=2,53.48n=2,2.96n=20,1.86n=12,1.87n=4,-n=0,3.88n=4,3.44n=4,3.49n=4,3.71n=4,3.54n=4
189,190,🇦🇹,Alexander Charnagalov,1,0,0,0,0,93.72n=1,51.58n=1,40.40n=1,57.32n=1,2.28n=10,2.21n=6,2.16n=2,-n=0,4.30n=2,3.75n=2,3.70n=2,4.02n=2,3.92n=2
190,191,🇧🇬,Filip Kaimakchiev,2,0,0,0,0,91.84n=2,61.80n=2,44.10n=2,52.23n=2,2.97n=19,2.23n=12,1.24n=4,-n=0,3.76n=4,3.43n=4,3.46n=4,3.68n=4,3.54n=4
191,192,🇿🇦,Sinali Sango,1,0,0,0,0,90.03n=1,42.26n=1,37.45n=1,53.58n=1,2.34n=10,1.71n=6,1.92n=2,-n=0,3.92n=2,3.34n=2,3.54n=2,3.60n=2,3.48n=2
192,193,🇲🇰,Seldin Saliu,1,0,0,0,0,83.33n=1,42.87n=1,36.68n=1,46.65n=1,2.57n=10,1.35n=6,1.45n=2,-n=0,3.36n=2,3.04n=2,3.10n=2,3.30n=2,3.09n=2
193,194,🇹🇭,Chindanai Ponsing,1,0,0,0,0,67.67n=1,26.46n=1,19.77n=1,50.90n=1,1.08n=10,1.08n=6,1.27n=2,-n=0,3.73n=2,3.38n=2,3.36n=2,3.52n=2,3.42n=2
194,195,🇮🇳,Priyam Tated,1,0,0,0,0,30.36n=1,17.43n=1,12.99n=1,18.37n=1,0.71n=8,0.90n=6,0.96n=2,-n=0,1.38n=2,0.90n=2,1.40n=2,1.27n=2,1.36n=2
